GCC_PERF tests 1.0
Written by Larry Bank
running ARM NEON tests 0-8, 32-bit word size
Multiply Complex C (bigger than cache) = 5070ms
Multiply Complex SIMD (bigger than cache) = 2604ms
Multiply Complex ASM (bigger than cache) = 2554ms
Multiply Complex C (smaller than cache) = 2265ms
Multiply Complex SIMD (smaller than cache) = 1543ms
Multiply Complex ASM (smaller than cache) = 1094ms
Integer Sum C (bigger than cache) = 5136ms
Integer Sum SIMD (bigger than cache) = 2545ms
Integer Sum ASM (bigger than cache) = 2747ms
Integer Sum C (smaller than cache) = 870ms
Integer Sum SIMD (smaller than cache) = 717ms
Integer Sum ASM (smaller than cache) = 696ms
Float Sum C (bigger than cache) = 4425ms
Float Sum SIMD (bigger than cache) = 2561ms
Float Sum ASM (bigger than cache) = 2799ms
Float Sum C (smaller than cache) = 1678ms
Float Sum SIMD (smaller than cache) = 834ms
Float Sum ASM (smaller than cache) = 810ms
Integer Difference C (bigger than cache) = 5134ms
Integer Difference SIMD (bigger than cache) = 2567ms
Integer Difference ASM (bigger than cache) = 2823ms
Integer Difference C (smaller than cache) = 870ms
Integer Difference SIMD (smaller than cache) = 721ms
Integer Difference ASM (smaller than cache) = 692ms
Float Difference C (bigger than cache) = 4434ms
Float Difference SIMD (bigger than cache) = 2531ms
Float Difference ASM (bigger than cache) = 2894ms
Float Difference C (smaller than cache) = 1673ms
Float Difference SIMD (smaller than cache) = 834ms
Float Difference ASM (smaller than cache) = 811ms
Integer Max C (bigger than cache) = 705ms
Integer Max SIMD (bigger than cache) = 656ms
Integer Max ASM (bigger than cache) = 666ms
Integer Max C (smaller than cache) = 464ms
Integer Max SIMD (smaller than cache) = 338ms
Integer Max ASM (smaller than cache) = 350ms
Float Max C (bigger than cache) = 1804ms
Float Max SIMD (bigger than cache) = 674ms
Float Max ASM (bigger than cache) = 663ms
Float Max C (smaller than cache) = 1437ms
Float Max SIMD (smaller than cache) = 454ms
Float Max ASM (smaller than cache) = 469ms
Integer Accumulate C (bigger than cache) = 678ms
Integer Accumulate SIMD (bigger than cache) = 672ms
Integer Accumulate ASM (bigger than cache) = 710ms
Integer Accumulate C (smaller than cache) = 465ms
Integer Accumulate SIMD (smaller than cache) = 338ms
Integer Accumulate ASM (smaller than cache) = 356ms
Float Accumulate C (bigger than cache) = 1295ms
Float Accumulate SIMD (bigger than cache) = 678ms
Float Accumulate ASM (bigger than cache) = 676ms
Float Accumulate C (smaller than cache) = 970ms
Float Accumulate SIMD (smaller than cache) = 441ms
Float Accumulate ASM (smaller than cache) = 474ms
